Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
The seventh and final book begins with Tom and his Death having a meeting at Malfoy .,"['book', 'Tom', 'Death', 'Malfoy']","['book:begins', 'Tom:begins', 'Death:begins', 'Malfoy:meeting']",['meeting'],['meeting:having'],-0.5994,"[(('begins', 'VBZ'), 'nsubj', ('book', 'NN')), (('book', 'NN'), 'det', ('The', 'DT')), (('book', 'NN'), 'amod', ('seventh', 'JJ')), (('seventh', 'JJ'), 'cc', ('and', 'CC')), (('seventh', 'JJ'), 'conj', ('final', 'JJ')), (('begins', 'VBZ'), 'nmod', ('Tom', 'NNP')), (('Tom', 'NNP'), 'case', ('with', 'IN')), (('Tom', 'NNP'), 'cc', ('and', 'CC')), (('Tom', 'NNP'), 'conj', ('Death', 'NN')), (('Death', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('Death', 'NN'), 'acl', ('having', 'VBG')), (('having', 'VBG'), 'dobj', ('meeting', 'NN')), (('meeting', 'NN'), 'det', ('a', 'DT')), (('meeting', 'NN'), 'nmod', ('Malfoy', 'NNP')), (('Malfoy', 'NNP'), 'case', ('at', 'IN'))]"
They are beginning to plan out how to kidnap Harry during his evacuation from  Privet when he will be vulnerable .,"['They', 'evacuation', 'Privet', 'he']","['They:beginning', 'evacuation:kidnap', 'Privet:evacuation', 'he:vulnerable']",['Harry'],['Harry:kidnap'],-0.2263,"[(('beginning', 'VBG'), 'nsubj', ('They', 'PRP')), (('beginning', 'VBG'), 'aux', ('are', 'VBP')), (('beginning', 'VBG'), 'xcomp', ('plan', 'VB')), (('plan', 'VB'), 'mark', ('to', 'TO')), (('plan', 'VB'), 'compound:prt', ('out', 'RP')), (('plan', 'VB'), 'ccomp', ('kidnap', 'VB')), (('kidnap', 'VB'), 'advmod', ('how', 'WRB')), (('kidnap', 'VB'), 'mark', ('to', 'TO')), (('kidnap', 'VB'), 'dobj', ('Harry', 'NNP')), (('kidnap', 'VB'), 'nmod', ('evacuation', 'NN')), (('evacuation', 'NN'), 'case', ('during', 'IN')), (('evacuation', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('evacuation', 'NN'), 'nmod', ('Privet', 'NNP')), (('Privet', 'NNP'), 'case', ('from', 'IN')), (('kidnap', 'VB'), 'advcl', ('vulnerable', 'JJ')), (('vulnerable', 'JJ'), 'advmod', ('when', 'WRB')), (('vulnerable', 'JJ'), 'nsubj', ('he', 'PRP')), (('vulnerable', 'JJ'), 'aux', ('will', 'MD')), (('vulnerable', 'JJ'), 'cop', ('be', 'VB'))]"
"After `` borrowing '' Lucius 's wand in order to annihilate Harry once and for all -- Tom does so in a way that indicates Malfoy has no choice -- Tom kills Lucius 's captive , Charity -LRB- the Muggle Studies professor at Hogwarts -RRB- for teaching the subject and penning an article suggesting that Muggles should be treated as equals to pure-bloods .","['Tom', 'way', 'Malfoy', 'Tom', 'Charity', 'Hogwarts', 'pure-bloods']","['Tom:does', 'way:does', 'Malfoy:has', 'Tom:kills', 'Charity:equals', 'Hogwarts:professor', 'pure-bloods:equals']","['wand', 'Harry', 'choice', 'captive', 'subject', 'article', 'Muggles']","['wand:borrowing', 'Harry:annihilate', 'choice:has', 'captive:kills', 'subject:teaching', 'article:penning', 'Muggles:treated']",-0.4404,"[(('equals', 'VBZ'), 'advcl', ('borrowing', 'VBG')), (('borrowing', 'VBG'), 'mark', ('After', 'IN')), (('borrowing', 'VBG'), 'dobj', ('wand', 'NN')), (('wand', 'NN'), 'nmod:poss', ('Lucius', 'NNP')), (('Lucius', 'NNP'), 'case', (""'s"", 'POS')), (('wand', 'NN'), 'ccomp', ('annihilate', 'VB')), (('annihilate', 'VB'), 'mark', ('in', 'IN')), (('in', 'IN'), 'mwe', ('order', 'NN')), (('annihilate', 'VB'), 'mark', ('to', 'TO')), (('annihilate', 'VB'), 'dobj', ('Harry', 'NNP')), (('annihilate', 'VB'), 'advmod', ('once', 'RB')), (('annihilate', 'VB'), 'cc', ('and', 'CC')), (('annihilate', 'VB'), 'conj', ('kills', 'VBZ')), (('kills', 'VBZ'), 'mark', ('for', 'IN')), (('kills', 'VBZ'), 'nsubj', ('all', 'DT')), (('kills', 'VBZ'), 'parataxis', ('does', 'VBZ')), (('does', 'VBZ'), 'nsubj', ('Tom', 'NNP')), (('does', 'VBZ'), 'advmod', ('so', 'RB')), (('does', 'VBZ'), 'nmod', ('way', 'NN')), (('way', 'NN'), 'case', ('in', 'IN')), (('way', 'NN'), 'det', ('a', 'DT')), (('way', 'NN'), 'acl:relcl', ('indicates', 'VBZ')), (('indicates', 'VBZ'), 'nsubj', ('that', 'WDT')), (('indicates', 'VBZ'), 'ccomp', ('has', 'VBZ')), (('has', 'VBZ'), 'nsubj', ('Malfoy', 'NNP')), (('has', 'VBZ'), 'dobj', ('choice', 'NN')), (('choice', 'NN'), 'neg', ('no', 'DT')), (('kills', 'VBZ'), 'nsubj', ('Tom', 'NNP')), (('kills', 'VBZ'), 'dobj', ('captive', 'NN')), (('captive', 'NN'), 'nmod:poss', ('Lucius', 'NNP')), (('Lucius', 'NNP'), 'case', (""'s"", 'POS')), (('equals', 'VBZ'), 'nsubj', ('Charity', 'NNP')), (('Charity', 'NNP'), 'dep', ('professor', 'NN')), (('professor', 'NN'), 'det', ('the', 'DT')), (('professor', 'NN'), 'compound', ('Muggle', 'NNP')), (('professor', 'NN'), 'compound', ('Studies', 'NNPS')), (('professor', 'NN'), 'nmod', ('Hogwarts', 'NNP')), (('Hogwarts', 'NNP'), 'case', ('at', 'IN')), (('Charity', 'NNP'), 'acl', ('teaching', 'VBG')), (('teaching', 'VBG'), 'mark', ('for', 'IN')), (('teaching', 'VBG'), 'dobj', ('subject', 'NN')), (('subject', 'NN'), 'det', ('the', 'DT')), (('teaching', 'VBG'), 'cc', ('and', 'CC')), (('teaching', 'VBG'), 'conj', ('penning', 'VBG')), (('penning', 'VBG'), 'dobj', ('article', 'NN')), (('article', 'NN'), 'det', ('an', 'DT')), (('penning', 'VBG'), 'advcl', ('suggesting', 'VBG')), (('suggesting', 'VBG'), 'ccomp', ('treated', 'VBN')), (('treated', 'VBN'), 'mark', ('that', 'IN')), (('treated', 'VBN'), 'nsubjpass', ('Muggles', 'NNP')), (('treated', 'VBN'), 'aux', ('should', 'MD')), (('treated', 'VBN'), 'auxpass', ('be', 'VB')), (('treated', 'VBN'), 'nmod', ('as', 'IN')), (('equals', 'VBZ'), 'nmod', ('pure-bloods', 'NNS')), (('pure-bloods', 'NNS'), 'case', ('to', 'TO'))]"
"It 's revealed during this meeting that Lucius has lost all of Tom 's respect and that the Dark Lord 's favour has shifted to Lucius 's sister-in-law Bellatrix , who has helped wreak chaos on the wizarding community ; Severus , who has enabled a clear field for his master 's rise to power with his murder of Albus at Hogwarts ; and Corban , who has enabled the Death to infiltrate the Ministry of Magic by means of the Imperius Curse .","['meeting', 'Lucius', 'respect', 'favour', 'Bellatrix', 'community', 'rise', 'power', 'murder', 'Albus', 'Hogwarts', 'Magic', 'means', 'Curse']","['meeting:revealed', 'Lucius:lost', 'respect:all', 'favour:shifted', 'Bellatrix:shifted', 'community:chaos', 'rise:field', 'power:enabled', 'murder:power', 'Albus:murder', 'Hogwarts:enabled', 'Magic:Ministry', 'means:infiltrate', 'Curse:means']","['It', 'chaos', 'Severus', 'Corban', 'field', 'Death', 'Ministry']","['It:revealed', 'chaos:wreak', 'Severus:wreak', 'Corban:wreak', 'field:enabled', 'Death:enabled', 'Ministry:infiltrate']",-0.8885,"[(('revealed', 'VBN'), 'nsubjpass', ('It', 'PRP')), (('revealed', 'VBN'), 'auxpass', (""'s"", 'VBZ')), (('revealed', 'VBN'), 'nmod', ('meeting', 'NN')), (('meeting', 'NN'), 'case', ('during', 'IN')), (('meeting', 'NN'), 'det', ('this', 'DT')), (('revealed', 'VBN'), 'ccomp', ('lost', 'VBN')), (('lost', 'VBN'), 'mark', ('that', 'IN')), (('lost', 'VBN'), 'nsubj', ('Lucius', 'NNP')), (('lost', 'VBN'), 'aux', ('has', 'VBZ')), (('lost', 'VBN'), 'dobj', ('all', 'DT')), (('all', 'DT'), 'nmod', ('respect', 'NN')), (('respect', 'NN'), 'case', ('of', 'IN')), (('respect', 'NN'), 'nmod:poss', ('Tom', 'NNP')), (('Tom', 'NNP'), 'case', (""'s"", 'POS')), (('lost', 'VBN'), 'cc', ('and', 'CC')), (('lost', 'VBN'), 'conj', ('shifted', 'VBN')), (('shifted', 'VBN'), 'mark', ('that', 'IN')), (('shifted', 'VBN'), 'nsubj', ('favour', 'NN')), (('favour', 'NN'), 'nmod:poss', ('Lord', 'NN')), (('Lord', 'NN'), 'det', ('the', 'DT')), (('Lord', 'NN'), 'amod', ('Dark', 'JJ')), (('Lord', 'NN'), 'case', (""'s"", 'POS')), (('shifted', 'VBN'), 'aux', ('has', 'VBZ')), (('shifted', 'VBN'), 'nmod', ('Bellatrix', 'NN')), (('Bellatrix', 'NN'), 'case', ('to', 'TO')), (('Bellatrix', 'NN'), 'nmod:poss', ('Lucius', 'NNP')), (('Lucius', 'NNP'), 'case', (""'s"", 'POS')), (('Bellatrix', 'NN'), 'compound', ('sister-in-law', 'NN')), (('Bellatrix', 'NN'), 'acl:relcl', ('helped', 'VBN')), (('helped', 'VBN'), 'nsubj', ('who', 'WP')), (('helped', 'VBN'), 'aux', ('has', 'VBZ')), (('helped', 'VBN'), 'ccomp', ('wreak', 'VB')), (('wreak', 'VB'), 'dobj', ('chaos', 'NN')), (('chaos', 'NN'), 'nmod', ('community', 'NN')), (('community', 'NN'), 'case', ('on', 'IN')), (('community', 'NN'), 'det', ('the', 'DT')), (('community', 'NN'), 'amod', ('wizarding', 'VBG')), (('chaos', 'NN'), 'conj', ('Severus', 'NNP')), (('Severus', 'NNP'), 'acl:relcl', ('enabled', 'VBN')), (('enabled', 'VBN'), 'nsubj', ('who', 'WP')), (('enabled', 'VBN'), 'aux', ('has', 'VBZ')), (('enabled', 'VBN'), 'dobj', ('field', 'NN')), (('field', 'NN'), 'det', ('a', 'DT')), (('field', 'NN'), 'amod', ('clear', 'JJ')), (('field', 'NN'), 'nmod', ('rise', 'NN')), (('rise', 'NN'), 'case', ('for', 'IN')), (('rise', 'NN'), 'nmod:poss', ('master', 'NN')), (('master', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('master', 'NN'), 'case', (""'s"", 'POS')), (('enabled', 'VBN'), 'nmod', ('power', 'NN')), (('power', 'NN'), 'case', ('to', 'TO')), (('power', 'NN'), 'nmod', ('murder', 'NN')), (('murder', 'NN'), 'case', ('with', 'IN')), (('murder', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('murder', 'NN'), 'nmod', ('Albus', 'NNP')), (('Albus', 'NNP'), 'case', ('of', 'IN')), (('enabled', 'VBN'), 'nmod', ('Hogwarts', 'NNP')), (('Hogwarts', 'NNP'), 'case', ('at', 'IN')), (('chaos', 'NN'), 'cc', ('and', 'CC')), (('chaos', 'NN'), 'conj', ('Corban', 'NNP')), (('Corban', 'NNP'), 'acl:relcl', ('enabled', 'VBN')), (('enabled', 'VBN'), 'nsubj', ('who', 'WP')), (('enabled', 'VBN'), 'aux', ('has', 'VBZ')), (('enabled', 'VBN'), 'dobj', ('Death', 'NN')), (('Death', 'NN'), 'det', ('the', 'DT')), (('Death', 'NN'), 'acl', ('infiltrate', 'VB')), (('infiltrate', 'VB'), 'mark', ('to', 'TO')), (('infiltrate', 'VB'), 'dobj', ('Ministry', 'NNP')), (('Ministry', 'NNP'), 'det', ('the', 'DT')), (('Ministry', 'NNP'), 'nmod', ('Magic', 'NNP')), (('Magic', 'NNP'), 'case', ('of', 'IN')), (('infiltrate', 'VB'), 'nmod', ('means', 'NNS')), (('means', 'NNS'), 'case', ('by', 'IN')), (('means', 'NNS'), 'nmod', ('Curse', 'NNP')), (('Curse', 'NNP'), 'case', ('of', 'IN')), (('Curse', 'NNP'), 'det', ('the', 'DT')), (('Curse', 'NNP'), 'compound', ('Imperius', 'NNP'))]"
"Harry , meanwhile , is rummaging through his school trunk , sorting what he will need to take with him from what will be left behind .","['Harry', 'trunk', 'he', 'him']","['Harry:rummaging', 'trunk:rummaging', 'he:need', 'him:take']",[],[],0.0,"[(('rummaging', 'VBG'), 'nsubj', ('Harry', 'NNP')), (('rummaging', 'VBG'), 'advmod', ('meanwhile', 'RB')), (('rummaging', 'VBG'), 'aux', ('is', 'VBZ')), (('rummaging', 'VBG'), 'nmod', ('trunk', 'NN')), (('trunk', 'NN'), 'case', ('through', 'IN')), (('trunk', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('trunk', 'NN'), 'compound', ('school', 'NN')), (('rummaging', 'VBG'), 'advcl', ('sorting', 'VBG')), (('sorting', 'VBG'), 'ccomp', ('need', 'VB')), (('need', 'VB'), 'nsubj', ('he', 'PRP')), (('need', 'VB'), 'aux', ('will', 'MD')), (('need', 'VB'), 'xcomp', ('take', 'VB')), (('take', 'VB'), 'dobj', ('what', 'WP')), (('take', 'VB'), 'mark', ('to', 'TO')), (('take', 'VB'), 'nmod', ('him', 'PRP')), (('him', 'PRP'), 'case', ('with', 'IN')), (('take', 'VB'), 'advcl', ('left', 'VBN')), (('left', 'VBN'), 'mark', ('from', 'IN')), (('left', 'VBN'), 'nsubjpass', ('what', 'WP')), (('left', 'VBN'), 'aux', ('will', 'MD')), (('left', 'VBN'), 'auxpass', ('be', 'VB')), (('left', 'VBN'), 'compound:prt', ('behind', 'RP'))]"
"While taking a break , he reads some articles about Albus .","['he', 'Albus']","['he:reads', 'Albus:articles']","['break', 'articles']","['break:taking', 'articles:reads']",0.0,"[(('reads', 'VBZ'), 'advcl', ('taking', 'VBG')), (('taking', 'VBG'), 'mark', ('While', 'IN')), (('taking', 'VBG'), 'dobj', ('break', 'NN')), (('break', 'NN'), 'det', ('a', 'DT')), (('reads', 'VBZ'), 'nsubj', ('he', 'PRP')), (('reads', 'VBZ'), 'dobj', ('articles', 'NNS')), (('articles', 'NNS'), 'det', ('some', 'DT')), (('articles', 'NNS'), 'nmod', ('Albus', 'NNP')), (('Albus', 'NNP'), 'case', ('about', 'IN'))]"
"One is sympathetic , the other critical .",['One'],['One:sympathetic'],[],[],0.25,"[(('sympathetic', 'JJ'), 'nsubj', ('One', 'PRP')), (('sympathetic', 'JJ'), 'cop', ('is', 'VBZ')), (('sympathetic', 'JJ'), 'parataxis', ('critical', 'JJ')), (('critical', 'JJ'), 'dep', ('other', 'JJ')), (('other', 'JJ'), 'det', ('the', 'DT'))]"
"In those obituaries , it is revealed that Albus ' father Percival supposedly hated Muggles and had attacked three Muggle boys , earning himself imprisonment in Azkaban , where he later died .","['obituaries', 'father', 'Azkaban', 'he']","['obituaries:revealed', 'father:Percival', 'Azkaban:imprisonment', 'he:died']","['it', 'Muggles', 'boys', 'imprisonment']","['it:revealed', 'Muggles:Percival', 'boys:attacked', 'imprisonment:earning']",-0.8957,"[(('revealed', 'VBN'), 'nmod', ('obituaries', 'NNS')), (('obituaries', 'NNS'), 'case', ('In', 'IN')), (('obituaries', 'NNS'), 'det', ('those', 'DT')), (('revealed', 'VBN'), 'nsubjpass', ('it', 'PRP')), (('revealed', 'VBN'), 'auxpass', ('is', 'VBZ')), (('revealed', 'VBN'), 'ccomp', ('Percival', 'VBZ')), (('Percival', 'VBZ'), 'mark', ('that', 'IN')), (('Percival', 'VBZ'), 'nsubj', ('father', 'NN')), (('father', 'NN'), 'nmod:poss', ('Albus', 'NNP')), (('Albus', 'NNP'), 'case', (""'"", 'POS')), (('Percival', 'VBZ'), 'dobj', ('Muggles', 'NNS')), (('Muggles', 'NNS'), 'amod', ('hated', 'VBN')), (('hated', 'VBN'), 'advmod', ('supposedly', 'RB')), (('Percival', 'VBZ'), 'cc', ('and', 'CC')), (('Percival', 'VBZ'), 'conj', ('attacked', 'VBN')), (('attacked', 'VBN'), 'aux', ('had', 'VBD')), (('attacked', 'VBN'), 'dobj', ('boys', 'NNS')), (('boys', 'NNS'), 'nummod', ('three', 'CD')), (('boys', 'NNS'), 'compound', ('Muggle', 'NNP')), (('attacked', 'VBN'), 'advcl', ('earning', 'VBG')), (('earning', 'VBG'), 'iobj', ('himself', 'PRP')), (('earning', 'VBG'), 'dobj', ('imprisonment', 'NN')), (('imprisonment', 'NN'), 'nmod', ('Azkaban', 'NNP')), (('Azkaban', 'NNP'), 'case', ('in', 'IN')), (('earning', 'VBG'), 'advcl', ('died', 'VBD')), (('died', 'VBD'), 'advmod', ('where', 'WRB')), (('died', 'VBD'), 'nsubj', ('he', 'PRP')), (('died', 'VBD'), 'advmod', ('later', 'RB'))]"
"The other article is an interview by Rita , concerning a forthcoming biography of Albus entitled The Life and Lies of Albus , in which she hints that Albus was responsible for the death of his younger sister Ariana , and that he was , at one time , a wizarding supremacist with Gellert .","['article', 'Rita', 'biography', 'Albus', 'Albus', 'she', 'Albus', 'death', 'Ariana', 'he', 'time', 'Gellert']","['article:interview', 'Rita:interview', 'biography:interview', 'Albus:biography', 'Albus:Life', 'she:hints', 'Albus:responsible', 'death:responsible', 'Ariana:death', 'he:supremacist', 'time:supremacist', 'Gellert:supremacist']","['Life', 'Lies']","['Life:entitled', 'Lies:entitled']",-0.4215,"[(('interview', 'NN'), 'nsubj', ('article', 'NN')), (('article', 'NN'), 'det', ('The', 'DT')), (('article', 'NN'), 'amod', ('other', 'JJ')), (('interview', 'NN'), 'cop', ('is', 'VBZ')), (('interview', 'NN'), 'det', ('an', 'DT')), (('interview', 'NN'), 'nmod', ('Rita', 'NNP')), (('Rita', 'NNP'), 'case', ('by', 'IN')), (('interview', 'NN'), 'nmod', ('biography', 'NN')), (('biography', 'NN'), 'case', ('concerning', 'VBG')), (('biography', 'NN'), 'det', ('a', 'DT')), (('biography', 'NN'), 'amod', ('forthcoming', 'JJ')), (('biography', 'NN'), 'nmod', ('Albus', 'NNP')), (('Albus', 'NNP'), 'case', ('of', 'IN')), (('Albus', 'NNP'), 'acl', ('entitled', 'VBN')), (('entitled', 'VBN'), 'dobj', ('Life', 'NNP')), (('Life', 'NNP'), 'det', ('The', 'DT')), (('Life', 'NNP'), 'cc', ('and', 'CC')), (('Life', 'NNP'), 'conj', ('Lies', 'NNP')), (('Life', 'NNP'), 'nmod', ('Albus', 'NNP')), (('Albus', 'NNP'), 'case', ('of', 'IN')), (('Albus', 'NNP'), 'acl:relcl', ('hints', 'VBZ')), (('hints', 'VBZ'), 'nmod', ('which', 'WDT')), (('which', 'WDT'), 'case', ('in', 'IN')), (('hints', 'VBZ'), 'nsubj', ('she', 'PRP')), (('hints', 'VBZ'), 'ccomp', ('responsible', 'JJ')), (('responsible', 'JJ'), 'mark', ('that', 'IN')), (('responsible', 'JJ'), 'nsubj', ('Albus', 'NNP')), (('responsible', 'JJ'), 'cop', ('was', 'VBD')), (('responsible', 'JJ'), 'nmod', ('death', 'NN')), (('death', 'NN'), 'case', ('for', 'IN')), (('death', 'NN'), 'det', ('the', 'DT')), (('death', 'NN'), 'nmod', ('Ariana', 'NN')), (('Ariana', 'NN'), 'case', ('of', 'IN')), (('Ariana', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('Ariana', 'NN'), 'amod', ('younger', 'JJR')), (('Ariana', 'NN'), 'compound', ('sister', 'NN')), (('responsible', 'JJ'), 'cc', ('and', 'CC')), (('responsible', 'JJ'), 'conj', ('supremacist', 'NN')), (('supremacist', 'NN'), 'mark', ('that', 'IN')), (('supremacist', 'NN'), 'nsubj', ('he', 'PRP')), (('supremacist', 'NN'), 'cop', ('was', 'VBD')), (('supremacist', 'NN'), 'nmod', ('time', 'NN')), (('time', 'NN'), 'case', ('at', 'IN')), (('time', 'NN'), 'nummod', ('one', 'CD')), (('supremacist', 'NN'), 'det', ('a', 'DT')), (('supremacist', 'NN'), 'amod', ('wizarding', 'JJ')), (('supremacist', 'NN'), 'nmod', ('Gellert', 'NNP')), (('Gellert', 'NNP'), 'case', ('with', 'IN'))]"
"Harry is beginning to have regrets about not having asked Albus more about Albus 's past , but this is soon forgotten as Albus leaves Albus 's home that night .","['Harry', 'past', 'Albus']","['Harry:beginning', 'past:asked', 'Albus:leaves']","['regrets', 'home']","['regrets:have', 'home:leaves']",-0.4767,"[(('beginning', 'VBG'), 'nsubj', ('Harry', 'NNP')), (('beginning', 'VBG'), 'aux', ('is', 'VBZ')), (('beginning', 'VBG'), 'xcomp', ('have', 'VB')), (('have', 'VB'), 'mark', ('to', 'TO')), (('have', 'VB'), 'dobj', ('regrets', 'NNS')), (('have', 'VB'), 'advcl', ('asked', 'VBN')), (('asked', 'VBN'), 'mark', ('about', 'IN')), (('asked', 'VBN'), 'neg', ('not', 'RB')), (('asked', 'VBN'), 'aux', ('having', 'VBG')), (('asked', 'VBN'), 'nmod', ('past', 'NN')), (('past', 'NN'), 'advmod', ('more', 'RBR')), (('more', 'RBR'), 'dep', ('Albus', 'NNP')), (('past', 'NN'), 'case', ('about', 'IN')), (('past', 'NN'), 'nmod:poss', ('Albus', 'NNP')), (('Albus', 'NNP'), 'case', (""'s"", 'POS')), (('beginning', 'VBG'), 'cc', ('but', 'CC')), (('beginning', 'VBG'), 'conj', ('forgotten', 'VBN')), (('forgotten', 'VBN'), 'nsubjpass', ('this', 'DT')), (('forgotten', 'VBN'), 'auxpass', ('is', 'VBZ')), (('forgotten', 'VBN'), 'advmod', ('soon', 'RB')), (('forgotten', 'VBN'), 'advcl', ('leaves', 'VBZ')), (('leaves', 'VBZ'), 'mark', ('as', 'IN')), (('leaves', 'VBZ'), 'nsubj', ('Albus', 'NNP')), (('leaves', 'VBZ'), 'dobj', ('home', 'NN')), (('home', 'NN'), 'nmod:poss', ('Albus', 'NNP')), (('Albus', 'NNP'), 'case', (""'s"", 'POS')), (('home', 'NN'), 'dep', ('night', 'NN')), (('night', 'NN'), 'det', ('that', 'DT'))]"
