"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" Thomas and Mary , with their grown-up son Tom , have been considered the most unpopular people occupying the Riddle , located on a hill overlooking the Yorkshire village of Little Hangleton , many decades ago .",-0.5,1," 1",0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0.51077,-1.23077,0.26615
" Thomas was a snobbish squire who had the worst attitude that nobody wanted in a village leader , while Mary did retailing for Lady branch of the British of Garden Centres .",-0.15,1," 2",0,0,0,0,0.5,0,0,0.5,0.84909,-1.09636,0.69909
" Referred to as `` white trash '' by most of the village , Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom have looked down on the most poverty-stricken families in the village for generations and sneered at anything disturbing for Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom 's peace , for Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom did n't hold such nonsense in Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom 's daily lives .",-0.2,1," 3",0.0666666666666667,0.2,0.133333333333333,0.0666666666666667,0.133333333333333,0.2,0.0666666666666667,0.133333333333333,0.45588,-0.80765,0.53765
" The story begins in August of  , where an absurd tragedy happened inside the house that nobody is able to find out how it happened . When Mary-Merope-Thomas-Tom-Tom 's maid goes to work that day , she discovers Mary-Merope-Thomas-Tom-Tom dead in the drawing room , `` still in Mary-Merope-Thomas-Tom-Tom 's dinner things '' .",-0.825,2," 4 5",0,0,0,0.5,0,0.5,0,0,0.68725,-1.09075,0.523
" The police find no evidence of any kind of murder or suicide , claiming to be in perfect health condition except for the fact that they were dead .",-1.5,1," 6",0.125,0.0625,0.0625,0.1875,0.125,0.125,0.0625,0.25,0.05143,-0.76357,0.30571
" They arrest Mary-Merope-Thomas-Tom-Tom 's gardener Frank for questioning , since the door and windows was never forced open or shattered on the night of their murder , and Mary-Merope-Thomas-Tom-Tom 's cook testified that he was the only one with a key to the house .",-2.25,1," 7",0.125,0,0.125,0.25,0,0.25,0.125,0.125,0.47676,-0.75765,0.50441
" Frank , however , said the only person he saw that night was a mysterious dark-haired boy , and was released due to lack of evidence , but many still believed he committed the murders .",-1.4,1," 8",0,0.125,0.125,0.125,0,0.125,0.125,0.375,0.57133,-0.98867,0.47267
" Half a century later on the night of  August ,  , an elderly Frank is still working as the groundskeeper at the Riddle house .",0.25,1," 9",0,0,0,0,0,0,0.5,0.5,0.91286,-1.33143,0.31857
" He sees a fire flickering in one of the rooms and goes over to investigate , thinking it is a couple boys who regularly disturb him .",-0.5,1," 10",0,0,0,1,0,0,0,0,0.75333,-0.73083,0.425
" Inside , he overhears the same boy he saw on the night of Mary-Merope-Thomas-Tom-Tom 's murder , now grown up as Tom -LRB- who , still unknown to him , was Tom 's unwanted son -RRB- , and his servant Peter planning to capture Harry with the aid of a reliable servant .",-0.6,1," 11",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.0714285714285714,0.214285714285714,0.08083,-0.78854,-0.03417
" Tom , Frank learns , also plans to reward Pettigrew for his help in capturing Bertha , a Ministry of Magic employee who Tom extracted information from before killing .",0.65,1," 12",0.1,0.1,0,0.1,0.2,0.1,0.1,0.3,0.72727,-0.41273,0.495
" Frank is then discovered by Tom 's snake Nagini , who reports his presence to her master via Parseltongue .",0.15,1," 13",0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0.605,-0.35167,0.10667
" When Pettigrew beckons him in as a guest , Frank stands up to Tom , who is unpleased that Muggles like the elderly gardener would be spying on him .",1.1,1," 14",0,0,0,0,0,0,0,1,0.86444,-1.36222,0.73111
" Frank does n't know what a Muggle is , and despite being offended that Tom called him one when it is explained that term means he 's not a wizard , he is still determined to inform the police about the intruders ' plot but horrified upon seeing Tom 's weak form .",-1.35,1," 15",0.111111111111111,0.111111111111111,0,0.222222222222222,0,0.111111111111111,0.111111111111111,0.333333333333333,0.39182,-1.01182,0.45045
" Tom then casts the Killing curse , ending Frank 's life before the book can describe what Tom looks like .",-1,1," 16",0.25,0,0.125,0.25,0,0.25,0,0.125,0.2905,-0.8115,0.428
" Simultaneously , about  miles away in the Surrey town of Little Whinging , Harry wakes up from a nightmare at Marjorie-Petunia-Vernon-Dudley 's house on Privet .",-0.75,1," 17",0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0.305,-0.83,0.21833
" The experience is shown to be a dream that Harry had and he wakes up with his scar hurting .",-1.25,1," 18",0.333333333333333,0,0.111111111111111,0.222222222222222,0,0.333333333333333,0,0,0.68667,-0.81889,0.38111
" Harry considers writing to his best friends Ronald and Hermione , as well as the Hogwarts , Albus , but eventually decides to write a letter to his godfather Sirius , an escaped convict .",0.5,1," 19",0.25,0.125,0.125,0.25,0,0.25,0,0,0.77333,-1.31056,0.46722
" Sirius was actually framed for his crimes by Peter , but , as the entire wizarding world except for Harry , Ronald , Hermione , and Albus believes him to be guilty , Sirius is in hiding .",-0.75,1," 20",0.4,0,0,0.2,0,0.4,0,0,0.298,-1.109,0.168
" Harry does not mention the dream , only his scar hurting , and plans to send the letter once Hedwig gets back .",-1.25,1," 21",0.3,0.1,0.1,0.2,0,0.3,0,0,0.297,-1.1335,0.3695
" The next day , It is revealed that Petunia has put Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Potter-Dursley on a diet , which Harry 's not following . Suddenly a letter from Molly addressed to the Dursleys arrives , She asks if Harry can join Lestrange-Fred-Peverell-Angelina-Percy-Ronald-Riddle-Fleur-Weasley-Malfoy-George-Roberts-Molly-Potter-Charles-Dursley-Arthur-William to go to the  final between Ireland and Bulgaria .",0,2," 22 23",0.25,0.125,0,0,0,0.25,0.375,0,0.67281,-1.17094,0.52781
" Unfortunately , the letter upsets Vernon because there are so many stamps on the envelope that the postman actually rang the doorbell to laugh about it .",-1,1," 24",0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0.73333,-1.02833,0.60278
" However , one mention of Sirius is enough to convince Vernon to let Harry go .",0.25,1," 25",0.25,0.25,0,0,0,0.25,0,0.25,0.89667,-1.54833,0.70333
" Harry writes back to Ronald -LRB- after a letter from Ronald was delivered by Ronald 's owl Pigwidgeon -RRB- confirming that they can come pick him up . Harry writes an extra sentence or two to Sirius 's letter explaining that he will be heading to The Burrow before sending the letter via Hedwig .",0.2,2," 26 27",0.272727272727273,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0.272727272727273,0,0,0.75386,-1.50659,0.68023
" On Sunday afternoon , the Weasley attempt to use Floo to access the Dursley household , unaware that they have an electric fireplace .",-0.15,1," 28",0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0.85389,-0.76778,0.70056
